"","Date","Open","High","Low","Close","Volume","Dividend","Split","Adj_Open","Adj_High","Adj_Low","Adj_Close","Adj_Volume"
"889",2015-01-16,100.86,104.31,100.24,104.12,6403841,0,1,93.5552434464798,96.7553781866182,92.9801467685419,96.5791388820888,6403841
"890",2015-01-15,103.32,103.65,100.82,101.01,6894339,0,1,95.8370786524915,96.1431784972004,93.518140435,93.6943797395293,6894339
"891",2015-01-14,102.42,103.41,101.88,102.64,5384438,0,1,95.0022608941946,95.9205604283212,94.5013702392164,95.2063274573338,5384438
"892",2015-01-13,105.41,106.04,103.15,103.73,5395001,0,1,97.7757110023145,98.3600834331224,95.6793908537021,96.2173845201602,5395001
"893",2015-01-12,105.17,105.29,104.06,104.42,4992830,0,1,97.5530929334353,97.6644019678749,96.523484364869,96.8574114681878,4992830
"894",2015-01-09,106.88,106.88,104.82,104.89,5701822,0,1,99.1392466741995,99.1392466741995,97.2284415829865,97.2933718530763,5701822
"895",2015-01-08,105.37,106.99,105.02,106.72,6467464,0,1,97.7386079908346,99.2412799557692,97.4139566403858,98.9908346282801,6467464
"896",2015-01-07,102.29,104.47,101.995,104.41,5089936,0,1,94.881676106885,96.9037902325377,94.608041397221,96.8481357153179,5089936
"897",2015-01-06,102.07,102.07,100.34,100.95,4913039,0,1,94.6776095437457,94.6776095437457,93.0729042972416,93.6387252223095,4913039
"898",2015-01-05,102.78,102.78,100.79,101.26,5881379,0,1,95.3361879975134,95.3361879975134,93.4903131763901,93.9262735612785,5881379
"899",2015-01-02,105.16,105.6548,102.67,103.43,4324850,0,1,97.5438171805653,98.0027814325713,95.2341547159437,95.9391119340612,4324850
"900",2014-12-31,104.75,106.02,104.56,104.97,5821631,0,1,97.1635113128967,98.3415319273824,96.9872720083674,97.367577876036,5821631
"901",2014-12-30,104.44,104.74,103.85,104.27,2927755,0,1,96.8759629739278,97.1542355600267,96.3286935545998,96.7182751751383,2927755
"902",2014-12-29,103.58,104.8,103.261,104.53,3492708,0,1,96.0782482271107,97.2098900772465,95.7823517105587,96.9594447497575,3492708
"903",2014-12-26,103.98,104.3202,103.48,103.75,2594855,0,1,96.4492783419093,96.7648394545456,95.985490698411,96.2359360259001,2594855
"904",2014-12-24,104.05,104.3792,103.56,103.56,1819047,0,1,96.5142086119991,96.8195663964784,96.0596967213707,96.0596967213707,1819047
"905",2014-12-23,103.66,104.2,103.32,103.76,4067739,0,1,96.1524542500704,96.6533449050486,95.8370786524915,96.2452117787701,4067739
